Neighborhood,zipcode
Downtown,77002
Downtown,77003
Midtown,77004
West University Place/ Southside Place/ Southampton/ Rice Village area,77005
Montrose & Parts of Midtown,77006
Memorial Park & Rice Military,77007
Heights,77008
Woodland Heights,77009
Garden Oaks & Oak Forest,77018
River Oaks/West Gray,77019
Memorial/Memorial Villages,77024
Medical Center including Braes Heights/ Ayrshire/ Knollwood Village/ Braes Terrace,77025
Medical Center including Southgate/ Braeswood,77030
Meyerland area including Willow Meadows/ Willowbend,77035
Briargrove Park/ Rivercrest/ Parts of Bellaire,77042
Greenway Plaza ,77046
Galleria/Uptown,77056
Galleria/Uptown,77057
Energy Corridor (Including Lakes of Parkway/ Parkway Village/ Oaks of Parkway/ Lakeside Enclave),77077
West Memorial including Nottingham/ Thornwood/ Westchester/ Wilchester,77079
Royal Oaks,77082
Meyerland including Maplewood/ Marilyn Estates & Parkwest,77096
Upper Kirby,77098
Bellaire,77401
